Freq	S11_real	S11_imag	S21_real	S21_imag	S12_real	S12_imag	S22_real	S22_imag
0	-95.8241665	147.167579	-0.001180802	-0.009950186	-0.001200495	-0.010120802	-90.2040031	58.5312997
0.01	-72.531969	86.9975974	-0.001956236	-0.517183177	-0.001956236	-0.517183177	-72.0902112	87.0545065
0.02	-67.1377373	85.6863396	-0.002725305	-1.02350151	-0.002709059	-1.02340008	-67.0082833	87.1908111
0.04	-62.2237511	84.0446849	-0.004206917	-2.03390966	-0.004169562	-2.03373344	-62.2732031	86.2112571
0.06	-59.8947083	82.5645233	-0.005584357	-3.04203662	-0.00553883	-3.04187125	-60.0197585	84.8676839
0.08	-58.7573769	81.0268674	-0.006849367	-4.04850958	-0.006804453	-4.0483839	-58.9347859	83.3310018
0.1	-58.4249649	79.3191619	-0.008008172	-5.0537764	-0.007968948	-5.05369329	-58.6509238	81.5634097
0.12	-58.8076754	77.2776215	-0.009072426	-6.05815738	-0.009041297	-6.05810949	-59.0902761	79.4138564
0.14	-60.0090976	74.5418658	-0.010055036	-7.06188465	-0.010032686	-7.06186196	-60.3735588	76.4921901
0.16	-62.4352935	70.0316747	-0.010968395	-8.06512996	-0.010954485	-8.065123	-62.950877	71.5584255
0.18	-67.4395499	58.3503092	-0.011823744	-9.0680236	-0.011817387	-9.06802467	-68.349811	57.9217351
0.2	-75.0923412	-27.7935412	-0.012631058	-10.0706672	-0.012631117	-10.0706705	-74.2010774	-38.7592977
0.22	-72.8546825	-44.935836	-0.013401404	-11.0730846	-0.01340668	-11.0730863	-72.2158068	-53.6131059
0.24	-70.507392	-57.8167267	-0.014137292	-12.0752989	-0.014146625	-12.0752965	-70.0487153	-64.8117355
0.26	-68.2587687	-67.4687903	-0.014844016	-13.0773448	-0.014856348	-13.077337	-67.9266874	-73.124342
0.28	-66.1775157	-74.8875005	-0.015525986	-14.0792495	-0.015540382	-14.0792358	-65.9357656	-79.4313625
0.3	-64.2707595	-80.7742001	-0.016186882	-15.0810352	-0.01620254	-15.0810157	-64.0940676	-84.3815115
0.32	-62.5245777	-85.586881	-0.016829785	-16.0827198	-0.016846035	-16.0826952	-62.3943731	-88.403239
0.34	-60.9199373	-89.6231304	-0.017457286	-17.0843186	-0.01747358	-17.0842897	-60.82205	-91.7742092
0.36	-59.438206	-93.0801752	-0.018071578	-18.0858447	-0.018087477	-18.0858124	-59.3616865	-94.6765637
0.38	-58.0627701	-96.0926697	-0.018674525	-19.0873093	-0.01868969	-19.0872747	-57.9992655	-97.2325254
0.4	-56.7793028	-98.755828	-0.019267722	-20.0887225	-0.019281899	-20.0886866	-56.722681	-99.5262204
0.42	-55.5756187	-101.139601	-0.019852543	-21.0900933	-0.01986555	-21.090057	-55.5216745	-101.617021
0.44	-54.4414374	-103.297373	-0.02043018	-22.09143	-0.020441897	-22.0913942	-54.3875983	-103.547829
0.46	-53.3681495	-105.271242	-0.021001672	-23.09274	-0.021012033	-23.0927056	-53.3131535	-105.350321
0.48	-52.348597	-107.095177	-0.021567939	-24.0940306	-0.021576919	-24.0939983	-52.2921537	-107.048353
0.5	-51.3768621	-108.796896	-0.022129797	-25.0953086	-0.022137406	-25.0952789	-51.3193257	-108.660215
0.52	-50.4480628	-110.399037	-0.022687986	-26.0965802	-0.022694264	-26.0965537	-50.3901466	-110.200159
0.54	-49.55816	-111.919982	-0.023243182	-27.0978518	-0.023248188	-27.0978288	-49.5007129	-111.679455
0.56	-48.7037833	-113.374526	-0.023796013	-28.0991294	-0.023799826	-28.0991101	-48.6476347	-113.107137
0.58	-47.8820851	-114.77447	-0.024347072	-29.1004187	-0.024349781	-29.1004033	-47.8279506	-114.490532
0.6	-47.0906218	-116.129165	-0.024896925	-30.1017255	-0.024898628	-30.1017141	-47.039059	-115.835647
0.62	-46.3272641	-117.445994	-0.02544612	-31.1030551	-0.02544692	-31.1030478	-46.2786627	-117.147461
0.64	-45.5901295	-118.730794	-0.025995192	-32.1044131	-0.025995195	-32.1044098	-45.5447226	-118.430134
0.65	-45.2308629	-119.36267	-0.026269848	-32.6051044	-0.026269492	-32.6051029	-45.1870978	-119.061661
0.66	-44.9188266	-119.970377	-0.026543445	-33.1057905	-0.026542756	-33.105791	-44.8765275	-119.671302
0.68	-44.3059843	-121.174176	-0.027090973	-34.1071898	-0.027089697	-34.1071939	-44.266662	-120.879044
0.7	-43.7076387	-122.363744	-0.027639336	-35.108629	-0.027637573	-35.1086366	-43.6712795	-122.072425
0.72	-43.123238	-123.540359	-0.028189002	-36.1101129	-0.028186849	-36.1101237	-43.0897594	-123.252579
0.74	-42.552253	-124.705101	-0.028740444	-37.1116463	-0.028737992	-37.11166	-42.5215235	-124.420539
0.76	-41.9941758	-125.858901	-0.029294143	-38.1132336	-0.029291476	-38.1132499	-41.9660313	-125.57725
0.78	-41.4485199	-127.002575	-0.029850588	-39.1148795	-0.029847784	-39.1148981	-41.4227775	-126.723573
0.8	-40.9148198	-128.136853	-0.030410278	-40.1165882	-0.030407408	-40.1166087	-40.891288	-127.860298
0.82	-40.3926314	-129.262393	-0.030973725	-41.118364	-0.030970852	-41.1183862	-40.3711181	-128.988149
0.84	-39.8815312	-130.379801	-0.031541453	-42.1202112	-0.031538634	-42.1202346	-39.8618491	-130.107788
0.86	-39.3927091	-131.486814	-0.032112704	-43.1221241	-0.032109987	-43.1221485	-39.3746571	-131.217308
0.88	-38.9133374	-132.587261	-0.03268912	-44.1241157	-0.032686546	-44.1241406	-38.896754	-132.320216
0.9	-38.4431141	-133.681551	-0.033271254	-45.1261897	-0.033268857	-45.126215	-38.4278499	-133.416961
0.92	-37.9817505	-134.770071	-0.033859674	-46.1283501	-0.033857483	-46.1283753	-37.9676689	-134.50796
0.94	-37.5289709	-135.853185	-0.034454967	-47.1306004	-0.034453002	-47.1306254	-37.5159485	-135.593598
0.96	-37.0845125	-136.931239	-0.035057734	-48.1329442	-0.03505601	-48.1329687	-37.0724387	-136.674235
0.98	-36.6481243	-138.00456	-0.035668594	-49.135385	-0.03566712	-49.1354088	-36.6369008	-137.750202
1	-36.2195672	-139.073455	-0.036288182	-50.1379262	-0.036286963	-50.1379491	-36.2091074	-138.821806
1.02	-35.7986131	-140.138213	-0.036917152	-51.1405709	-0.036916186	-51.1405927	-35.788841	-139.889333
1.04	-35.3850443	-141.199107	-0.037556175	-52.1433223	-0.037555457	-52.1433428	-35.3758938	-140.953048
1.06	-34.9786531	-142.256391	-0.038205939	-53.1461833	-0.03820546	-53.1462025	-34.9700668	-142.013194
1.08	-34.5792413	-143.310305	-0.03886715	-54.1491568	-0.038866897	-54.1491745	-34.5711699	-143.069999
1.1	-34.1866196	-144.361071	-0.039540532	-55.1522456	-0.039540488	-55.1522617	-34.1790204	-144.123674
1.12	-33.8006071	-145.408898	-0.040226825	-56.1554521	-0.040226973	-56.1554667	-33.7934438	-145.174414
1.14	-33.4210309	-146.45398	-0.040926788	-57.158779	-0.040927108	-57.158792	-33.4142721	-146.2224
1.16	-33.0477257	-147.496497	-0.041641197	-58.1622285	-0.041641666	-58.1622399	-33.0413445	-147.267799
1.18	-32.6805329	-148.536617	-0.042370843	-59.1658027	-0.042371439	-59.1658126	-32.6745064	-148.310767
1.2	-32.3193011	-149.574495	-0.043116537	-60.1695038	-0.043117235	-60.1695122	-32.3136093	-149.35145
1.22	-31.9638848	-150.610275	-0.043879105	-61.1733336	-0.043879881	-61.1733406	-31.9585105	-150.389981
1.23	-31.7883137	-151.12742	-0.044266979	-61.6752972	-0.044267785	-61.6753036	-31.7830923	-150.908479
1.24	-31.615797	-151.643933	-0.044658249	-62.1772896	-0.044659079	-62.1772954	-31.6107239	-151.426334
1.26	-31.2747552	-152.675626	-0.045454657	-63.1813736	-0.045455517	-63.1813781	-31.2699689	-152.460655
1.28	-30.9389381	-153.705633	-0.046270278	-64.1855908	-0.046271143	-64.1855943	-30.9344268	-153.493207
1.3	-30.6082327	-154.734052	-0.04710599	-65.1899427	-0.047106838	-65.1899453	-30.6039855	-154.524086
1.32	-30.2825302	-155.760975	-0.04796269	-66.1944302	-0.047963499	-66.1944321	-30.2785366	-155.553381
1.34	-29.9617253	-156.786487	-0.048841287	-67.1990545	-0.048842038	-67.1990558	-29.9579758	-156.581176
1.36	-29.6457169	-157.810666	-0.049742707	-68.2038161	-0.04974338	-68.2038171	-29.6422019	-157.607547
1.38	-29.334407	-158.833584	-0.050667887	-69.2087158	-0.050668466	-69.2087166	-29.3311173	-158.632567
1.4	-29.0277013	-159.855307	-0.05161778	-70.2137538	-0.05161825	-70.2137546	-29.0246277	-159.656304
1.42	-28.7255083	-160.875894	-0.05259335	-71.2189304	-0.052593698	-71.2189315	-28.7226416	-160.67882
1.44	-28.4277399	-161.895402	-0.053595575	-72.2242457	-0.05359579	-72.2242471	-28.4250709	-161.700173
1.45	-28.2804881	-162.404766	-0.054106991	-72.7269552	-0.054107136	-72.726957	-28.2779145	-162.210431
1.46	-28.1353007	-162.913821	-0.054623914	-73.2296962	-0.054623987	-73.2296983	-28.1328197	-162.720355
1.48	-27.8480254	-163.931212	-0.055679189	-74.2352817	-0.055679114	-74.2352847	-27.8457228	-163.739427
